DATE,EUR_3M,EUR_6M,EUR_2Y,EUR_10Y
1/1/10,0.459,0.546,1.332,3.387
1/4/10,0.446,0.527,1.347,3.391
1/5/10,0.442,0.508,1.286,3.373
1/6/10,0.439,0.484,1.294,3.381
1/7/10,0.43,0.463,1.264,3.37
1/8/10,0.429,0.46,1.244,3.385
1/11/10,0.43,0.441,1.225,3.347
1/12/10,0.429,0.436,1.21,3.313
1/13/10,0.409,0.435,1.198,3.303
1/14/10,0.396,0.427,1.179,3.298
1/15/10,0.387,0.412,1.135,3.262
1/18/10,0.381,0.412,1.141,3.248
1/19/10,0.38,0.416,1.178,3.277
1/20/10,0.387,0.417,1.134,3.223
1/21/10,0.379,0.41,1.12,3.207
1/22/10,0.383,0.421,1.112,3.215
1/25/10,0.382,0.42,1.11,3.217
1/26/10,0.386,0.427,1.119,3.207
1/27/10,0.38,0.426,1.131,3.2
1/28/10,0.378,0.427,1.12,3.201
1/29/10,0.387,0.431,1.119,3.196
2/1/10,0.391,0.44,1.122,3.186
2/2/10,0.384,0.431,1.127,3.195
2/3/10,0.385,0.429,1.137,3.223
2/4/10,0.382,0.416,1.064,3.163
2/5/10,0.395,0.422,0.989,3.12
2/8/10,0.396,0.426,0.996,3.145
2/9/10,0.39,0.413,1.036,3.152
2/10/10,0.404,0.467,1.042,3.198
2/11/10,0.394,0.45,1.048,3.234
2/12/10,0.393,0.448,0.983,3.192
2/15/10,0.401,0.441,0.973,3.204
2/16/10,0.398,0.447,0.972,3.205
2/17/10,0.387,0.445,1.061,3.194
2/18/10,0.387,0.444,1.076,3.251
2/19/10,0.397,0.446,1.086,3.285
2/22/10,0.397,0.445,1.071,3.27
2/23/10,0.4,0.437,1.008,3.167
2/24/10,0.382,0.363,0.985,3.135
2/25/10,0.388,0.37,0.943,3.11
2/26/10,0.386,0.373,0.955,3.101
3/1/10,0.386,0.396,0.946,3.108
3/2/10,0.384,0.401,0.948,3.116
3/3/10,0.402,0.407,0.972,3.138
3/4/10,0.397,0.391,0.977,3.123
3/5/10,0.391,0.395,1,3.156
3/8/10,0.393,0.388,0.999,3.165
3/9/10,0.389,0.389,0.984,3.132
3/10/10,0.383,0.411,1.01,3.153
3/11/10,0.384,0.414,1.039,3.179
3/12/10,0.387,0.426,1.049,3.167
3/15/10,0.393,0.428,1.034,3.155
3/16/10,0.394,0.428,1.009,3.139
3/17/10,0.38,0.433,0.971,3.111
3/18/10,0.381,0.433,0.993,3.127
3/19/10,0.385,0.443,1.003,3.109
3/22/10,0.384,0.429,0.975,3.07
3/23/10,0.385,0.428,0.96,3.056
3/24/10,0.357,0.428,0.972,3.079
3/25/10,0.357,0.418,0.996,3.152
3/26/10,0.36,0.426,1,3.15
3/29/10,0.4,0.427,0.98,3.132
3/30/10,0.403,0.435,0.97,3.11
3/31/10,0.41,0.44,0.958,3.092
4/1/10,0.421,0.469,0.952,3.088
4/2/10,0.428,0.467,0.955,3.088
4/5/10,0.419,0.467,0.954,3.09
4/6/10,0.416,0.468,0.979,3.143
4/7/10,0.396,0.487,0.953,3.119
4/8/10,0.385,0.474,0.917,3.096
4/9/10,0.388,0.482,0.968,3.166
4/12/10,0.389,0.49,0.993,3.177
4/13/10,0.387,0.488,0.972,3.146
4/14/10,0.386,0.474,0.953,3.138
4/15/10,0.383,0.479,0.939,3.132
4/16/10,0.361,0.471,0.889,3.084
4/19/10,0.361,0.462,0.874,3.078
4/20/10,0.363,0.464,0.893,3.098
4/21/10,0.353,0.429,0.876,3.079
4/22/10,0.348,0.439,0.865,3.052
4/23/10,0.346,0.449,0.902,3.061
4/26/10,0.344,0.446,0.879,3.046
4/27/10,0.35,0.452,0.804,2.939
4/28/10,0.351,0.446,0.792,3.037
4/29/10,0.357,0.44,0.798,3.062
4/30/10,0.368,0.443,0.771,3.017
5/3/10,0.376,0.445,0.813,3.065
5/4/10,0.384,0.455,0.713,2.949
5/5/10,0.328,0.409,0.604,2.861
5/6/10,0.334,0.412,0.518,2.793
5/7/10,0.313,0.386,0.532,2.797
5/10/10,0.325,0.365,0.602,2.955
5/11/10,0.323,0.361,0.579,2.937
5/12/10,0.345,0.34,0.64,2.942
5/13/10,0.346,0.338,0.603,2.94
5/14/10,0.345,0.354,0.556,2.86
5/17/10,0.332,0.339,0.565,2.863
5/18/10,0.345,0.336,0.561,2.831
5/19/10,0.292,0.335,0.509,2.766
5/20/10,0.285,0.334,0.481,2.685
5/21/10,0.291,0.345,0.512,2.666
5/24/10,0.288,0.348,0.515,2.655
5/25/10,0.254,0.321,0.472,2.578
5/26/10,0.303,0.299,0.5,2.645
5/27/10,0.303,0.292,0.539,2.704
5/28/10,0.305,0.29,0.519,2.682
5/31/10,0.307,0.292,0.514,2.66
6/1/10,0.32,0.297,0.499,2.675
6/2/10,0.263,0.268,0.5,2.655
6/3/10,0.267,0.266,0.501,2.676
6/4/10,0.27,0.28,0.476,2.584
6/7/10,0.289,0.297,0.483,2.563
6/8/10,0.288,0.288,0.455,2.512
6/9/10,0.284,0.294,0.484,2.567
6/10/10,0.284,0.285,0.512,2.61
6/11/10,0.295,0.295,0.464,2.566
6/14/10,0.303,0.308,0.495,2.638
6/15/10,0.312,0.311,0.509,2.674
6/16/10,0.31,0.354,0.497,2.671
6/17/10,0.311,0.364,0.52,2.663
6/18/10,0.327,0.366,0.581,2.729
6/21/10,0.362,0.381,0.633,2.766
6/22/10,0.369,0.381,0.581,2.692
6/23/10,0.382,0.398,0.586,2.647
6/24/10,0.384,0.393,0.536,2.602
6/25/10,0.363,0.372,0.569,2.611
6/28/10,0.429,0.459,0.562,2.585
6/29/10,0.422,0.443,0.548,2.559
6/30/10,0.4,0.49,0.6,2.577
7/1/10,0.341,0.504,0.677,2.566
7/2/10,0.319,0.483,0.666,2.583
7/5/10,0.343,0.473,0.625,2.543
7/6/10,0.38,0.496,0.648,2.589
7/7/10,0.378,0.534,0.672,2.598
7/8/10,0.423,0.595,0.724,2.632
7/9/10,0.429,0.583,0.768,2.634
7/12/10,0.402,0.541,0.695,2.589
7/13/10,0.422,0.564,0.728,2.641
7/14/10,0.447,0.549,0.768,2.655
7/15/10,0.491,0.549,0.785,2.653
7/16/10,0.521,0.575,0.776,2.606
7/19/10,0.564,0.604,0.824,2.65
7/20/10,0.567,0.573,0.775,2.636
7/21/10,0.524,0.638,0.726,2.638
7/22/10,0.51,0.631,0.703,2.665
7/23/10,0.516,0.631,0.749,2.706
7/26/10,0.513,0.62,0.831,2.761
7/27/10,0.528,0.609,0.876,2.77
7/28/10,0.562,0.587,0.85,2.749
7/29/10,0.546,0.57,0.833,2.717
7/30/10,0.543,0.56,0.784,2.669
8/2/10,0.517,0.552,0.786,2.698
8/3/10,0.518,0.553,0.725,2.607
8/4/10,0.506,0.572,0.735,2.604
8/5/10,0.511,0.585,0.746,2.562
8/6/10,0.52,0.598,0.746,2.519
8/9/10,0.513,0.591,0.72,2.525
8/10/10,0.497,0.569,0.705,2.537
8/11/10,0.495,0.534,0.691,2.428
8/12/10,0.489,0.509,0.663,2.421
8/13/10,0.49,0.495,0.655,2.393
8/16/10,0.489,0.489,0.644,2.33
8/17/10,0.487,0.498,0.668,2.363
8/18/10,0.45,0.501,0.652,2.347
8/19/10,0.451,0.502,0.658,2.312
8/20/10,0.43,0.465,0.61,2.271
8/23/10,0.438,0.459,0.608,2.286
8/24/10,0.447,0.463,0.586,2.18
8/25/10,0.485,0.489,0.588,2.146
8/26/10,0.486,0.491,0.607,2.157
8/27/10,0.495,0.498,0.633,2.2
8/30/10,0.494,0.495,0.605,2.135
8/31/10,0.49,0.49,0.59,2.116
9/1/10,0.435,0.486,0.616,2.224
9/2/10,0.427,0.482,0.615,2.283
9/3/10,0.435,0.492,0.641,2.354
9/6/10,0.434,0.493,0.632,2.336
9/7/10,0.442,0.497,0.573,2.255
9/8/10,0.445,0.519,0.629,2.297
9/9/10,0.447,0.533,0.7,2.336
9/10/10,0.449,0.542,0.736,2.4
9/13/10,0.447,0.537,0.745,2.427
9/14/10,0.449,0.534,0.72,2.371
9/15/10,0.435,0.541,0.751,2.404
9/16/10,0.45,0.54,0.811,2.478
9/17/10,0.459,0.541,0.774,2.427
9/20/10,0.446,0.538,0.807,2.467
9/21/10,0.458,0.535,0.796,2.453
9/22/10,0.473,0.528,0.75,2.349
9/23/10,0.472,0.523,0.695,2.285
9/24/10,0.48,0.536,0.729,2.342
9/27/10,0.495,0.568,0.721,2.269
9/28/10,0.495,0.569,0.733,2.246
9/29/10,0.505,0.59,0.785,2.24
9/30/10,0.605,0.666,0.834,2.278
10/1/10,0.629,0.69,0.853,2.286
10/4/10,0.611,0.668,0.83,2.252
10/5/10,0.599,0.666,0.803,2.279
10/6/10,0.606,0.666,0.771,2.224
10/7/10,0.611,0.668,0.802,2.262
10/8/10,0.617,0.668,0.786,2.254
#########,0.628,0.672,0.793,2.272
#########,0.616,0.659,0.776,2.243
#########,0.62,0.653,0.783,2.282
#########,0.635,0.67,0.797,2.295
#########,0.656,0.692,0.814,2.371
#########,0.693,0.746,0.885,2.385
#########,0.703,0.759,0.897,2.414
#########,0.726,0.81,0.958,2.44
#########,0.71,0.825,0.996,2.484
#########,0.725,0.841,1.003,2.474
#########,0.728,0.839,0.963,2.45
#########,0.762,0.875,1.011,2.507
#########,0.76,0.872,1.02,2.565
#########,0.77,0.882,1.029,2.564
#########,0.767,0.867,0.989,2.518
11/1/10,0.764,0.863,0.978,2.481
11/2/10,0.779,0.859,0.991,2.47
11/3/10,0.784,0.818,0.962,2.418
